gene	predicted.MetTarget.score
IL23A	0.946089128505633
TGFB1	0.946089128505633
TNF	0.914871573484288
TNFSF14	0.914780916478509
AHR	0.912195695039387
ITGB1	0.908032029395115
TLR4	0.90559389792005
IL2	0.904908880982727
JAK3	0.904892525486656
S1PR1	0.904877447499763
ITGA4	0.904832143135364
IL7R	0.904818611129754
TYMS	0.90481598271113
PTGS1	0.904790407542944
PTGS2	0.904780952363546
F2	0.902281900793181
IFNB1	0.902281900793181
IL5	0.902281900793181
TLR9	0.902281900793181
VEGFA	0.902281900793181
IL17A	0.899271261958463
CD3E	0.893151745343653
DHFR	0.893078655270913
S1PR5	0.893061554151443
IL4R	0.892622749883071
ICAM1	0.890027056021872
IL6	0.887120368805893
CCR5	0.884275634398148
VDR	0.878290241474334
IL12B	0.87559818765382
TNFRSF1A	0.872519733118691
IL1B	0.871484093701533
OPRM1	0.864949637789115
MMP1	0.863661036102051
NFKB1	0.862589433217308
IL1A	0.861325923694113
TNFSF13B	0.860108684046949
C3	0.859509005319871
ESR1	0.859509005319871
IL17RA	0.859509005319871
PLG	0.859509005319871
FGFR1	0.859173878870185
TNFSF15	0.856581910686715
BCL2	0.853474071116438
IL1R1	0.85204521181146
IFNG	0.852041194009425
IL13	0.846068723173815
NR3C1	0.836754805348718
EGFR	0.835109016098815
IL5RA	0.833576628237082
IFNGR1	0.833269500868206
JAK2	0.832194735412633
IL3RA	0.826727994366174
C5AR1	0.826334012285158
CCL4	0.823488121102327
F2R	0.821737896259532
ERBB2	0.819494788762357
TSLP	0.819166454471658
JAK1	0.817577907504495
CCR4	0.817363011438314
IFNAR1	0.817000712044002
RRM2	0.816989409639847
PIK3CD	0.807093373429356
IL22RA1	0.805246518966082
C5	0.800026933025122
MAPK14	0.793243294053911
F13A1	0.792611085871395
KIT	0.789812502487368
CD80	0.784737934904131
SLC10A2	0.783632230564357
TNFSF11	0.778903574636002
BTK	0.777199219147026
CD86	0.774899978581071
DDC	0.771291089158566
PDE4B	0.766520114501912
CSF1R	0.766394304791973
PDE4D	0.765610634577015
ADRB2	0.764356273295222
MAP2K1	0.761297816726028
SYK	0.757564747683752
ADA	0.756672908147412
PTGIR	0.753286978895257
ALOX5	0.752638508068044
SRD5A1	0.749463426030007
PDGFRB	0.745996974903354
KDR	0.745629288482457
CSF2RA	0.740863296387326
IL1RL2	0.73919573810791
FGFR3	0.738603848925218
FGF7	0.737443670593314
S1PR4	0.736825583512323
YAP1	0.734400748668727
CCNB1	0.734192727746613
CD19	0.7333071574594
FLT1	0.730635183528598
KLKB1	0.722450402094465
SERPINA1	0.719133199952073
IRAK1	0.711161068582227
ABL1	0.706543943379178
PRKCA	0.701949776017053
SELP	0.701476165041425
DNASE1	0.696144013167256
ATP4A	0.689909200790948
C1S	0.684700611489832
IMPDH1	0.68453366903617
PIK3CA	0.67853507654178
LYN	0.673975444597857
MTOR	0.67122558739151
RARG	0.670802804216884
PIK3CG	0.668974574414799
MS4A1	0.659428804331332
IFNAR2	0.657047516869911
FLT3	0.639138688285262
ACHE	0.62746248024025
PDE5A	0.627228605795223
PLAT	0.622846086602645
RARA	0.622842737803292
PPARG	0.618192349506753
SRC	0.61215947899139
FLT4	0.605285621990762
NGFR	0.598362381440106
IGF1R	0.586519585423437
PDGFRA	0.580982633692009
CCL3	0.57623050293927
ROCK2	0.557618354509903
TNFRSF8	0.553350076607473
SERPING1	0.548094829218131
F10	0.547612539162082
HRH1	0.546983366764454
AR	0.546369049009606
CRBN	0.545381649978474
ITGB7	0.545381649978474
NFE2L2	0.543988406172005
BCR	0.54108881598025
RET	0.540525801921598
HCRTR2	0.526132199812101
GUCY1B1	0.524530164386592
BDKRB2	0.516834647725947
BRAF	0.503401810328818
FCGRT	0.48667915301112
CALCRL	0.485104856363918
MAP2K2	0.476766274144073
CYSLTR1	0.462517096977091
DHODH	0.459536070141356
PGR	0.455959538162174
ADORA2A	0.447950530905897
MC1R	0.447835422148266
RRM1	0.429836160288673
POLA1	0.415029509167977
EDNRB	0.402810989919194
RARB	0.401150507044137
LANCL2	0.396755371128841
OPRD1	0.396755371128841
XPO1	0.396755371128841
CHRM3	0.386314141682234
EDNRA	0.367379141295703
NR1H4	0.355491865229996
CHRM4	0.348334047336692
GRIN1	0.334591291300407
FGG	0.321806931083063
PTGER1	0.321806931083063
RHCE	0.321806931083063
S1PR3	0.321806931083063
SLC6A2	0.321806931083063
SRD5A2	0.321806931083063
PTGFR	0.317255636986633
PDE4C	0.30361800652389
EGLN2	0.300270004587014
TRPV1	0.29940703917245
SERPINC1	0.279101000505756
GUCY1A1	0.251815700503262
ADRA2A	0.20749677789199
IGHE	0.205993966338707
CD52	0.196082527113786
CHRM1	0.196082527113786
CHRM2	0.196082527113786
FGA	0.196082527113786
FGB	0.196082527113786
GABRA1	0.196082527113786
HCRTR1	0.196082527113786
HRH2	0.196082527113786
MC2R	0.196082527113786
OPRK1	0.196082527113786
TRHR	0.196082527113786
EEF2	0.155532176299219
