gene	predicted.MetTarget.score
IL17A	0.872480107363238
TNFSF15	0.866949105636831
HIF1A	0.859318319951264
PDCD1	0.859313679475114
S1PR1	0.859306382717011
PTGS2	0.859306144538371
PTAFR	0.859304849058896
IL23A	0.859304571472422
LTA4H	0.859282088519256
TBXAS1	0.859281781079212
ADORA3	0.859260940407816
IL6R	0.859255613514599
NR3C1	0.859246291239865
JAK3	0.85924094846653
PPIA	0.859234328003317
PTGS1	0.859231353475326
IL7R	0.85923002247478
ITGA4	0.859227577713684
JAK1	0.859224610078161
SELPLG	0.859209361554083
IL12B	0.859209129712663
RELA	0.859209129712663
IL2	0.859177167306449
TNF	0.859172511428733
IL2RA	0.842952290883091
TSLP	0.841991227685458
IFNG	0.841892025834546
NUAK1	0.832817830647789
PDE4A	0.832815040871643
TYK2	0.832721009634651
BCL2	0.832657652958765
F2	0.832657652958765
IFNGR1	0.832657652958765
TLR9	0.832657652958765
TNFRSF1A	0.832657652958765
TGFB1	0.82411765484439
PLAT	0.822284817827498
CCR5	0.818769465891382
CD80	0.817999248605733
ICAM1	0.81588771373551
IL1R1	0.807205982596837
ADRB2	0.799628978691654
IL1B	0.798027464975752
IL13	0.796642768246864
VDR	0.794270309642944
MMP1	0.791499191627551
CD86	0.788375667447645
NFKB1	0.779043115963526
ESR1	0.776757127280083
YAP1	0.776757127280083
IFNB1	0.771562922251064
IL1A	0.771497794660374
VEGFA	0.765951939209395
IL5	0.765852455086019
FLT4	0.763332396902137
IL6	0.762231923178514
JAK2	0.76207340563693
AHR	0.760004499410652
DHODH	0.747217767718801
F13A1	0.746284752730187
SERPINA1	0.739670772355338
PDE4B	0.739021707418177
IFNAR2	0.734378084864472
PDGFRB	0.730385831693334
TNFSF13B	0.727521594824508
IL1RL2	0.726441082330101
PDE4D	0.720918615122244
RRM2	0.719406237215648
ADORA1	0.717407526118511
CCNB1	0.714150481107147
SRC	0.713798194171325
FLT1	0.713066783498488
F2R	0.7119100679802
ALOX5	0.704665361139372
PPARG	0.701801886523765
ERBB2	0.699795944710753
BTK	0.698982739817869
SELP	0.698078446361048
KIT	0.69712657208048
EDNRA	0.692924685620118
S1PR5	0.692626429543287
PTGIR	0.689831111243255
LYN	0.685191040488754
IFNAR1	0.685156032078054
IL17RA	0.685156032078054
PLG	0.685156032078054
KDR	0.680645175538757
C5AR1	0.678599154419664
IL23R	0.67843884420423
C3	0.678049994972113
DDC	0.670374022701643
EGFR	0.66891273257704
MTOR	0.668767612172914
PIK3CD	0.66847939691138
PDGFRA	0.662182761697642
ADA	0.660765121484944
FGFR1	0.66075939605212
IGF1R	0.660542949969662
SYK	0.657515535640273
CSF1R	0.654453952450474
CCL3	0.6538045949817
MAPK14	0.651782490809645
FKBP1A	0.651063988716797
BRAF	0.650959481548018
FGF7	0.647472587639515
ACHE	0.647089864240809
EEF2	0.640642905317817
HRH1	0.640278065359353
PIK3CA	0.636475076297628
NR1H4	0.628572122767739
PIK3CG	0.627783197133028
TRPV1	0.625361550912019
FGFR3	0.619689464045258
CD19	0.618434947084179
DNASE1	0.608817742031874
RARA	0.604787836805218
MS4A1	0.597161130251304
CCR4	0.595474141048282
AR	0.593084295269122
IL10RA	0.585176467239023
CCL4	0.578659891971779
RRM1	0.576173573935915
ABL1	0.567462530739521
PTGFR	0.540078097980641
BCR	0.539438431162249
RET	0.537785509577229
S1PR4	0.536703312630252
GATA3	0.534844545042151
TNFRSF8	0.526461855084825
SRD5A1	0.524891135216553
CSF2RA	0.52354461391345
RARG	0.522678291381829
C5	0.521534998791289
FLT3	0.517804931891441
ROCK2	0.517631530519349
TNFSF11	0.510045552056522
S1PR3	0.507056929096131
TNFRSF11A	0.505045703447908
NFE2L2	0.502927269832917
C1S	0.48939393899721
CD52	0.484192302982543
FCGRT	0.483860349131233
IL5RA	0.483419475285977
IL4R	0.476255482597006
IMPDH1	0.47525024035232
REN	0.475032955686766
MAP2K2	0.467767828705637
MAP2K1	0.463335065426322
IRAK1	0.46263623685485
PTGER1	0.456632530326603
PGR	0.441572494364644
NGFR	0.436326897479582
RARB	0.433374428994703
CHRM3	0.432034051567472
PDE5A	0.427884164679664
CALCRL	0.419269255736403
SERPINC1	0.412630980014337
F10	0.405910404441889
ADRA2A	0.394730369372928
SERPING1	0.389220207531197
PDE4C	0.381324551972684
ITGB7	0.378917143624584
HCRTR1	0.370366582701529
LANCL2	0.370366582701529
BDKRB2	0.355563655004106
ADORA2A	0.348067646078276
IGHE	0.334502898832
IL22RA1	0.331675436863135
IL3RA	0.326716899047044
POLA1	0.321609639247528
PRKCA	0.30056207419092
HRH2	0.297948937048004
SLC10A2	0.295938733668884
CYSLTR1	0.289445221346682
ATP4A	0.289081233971597
CRBN	0.289081233971597
FGG	0.289081233971597
HCRTR2	0.289081233971597
RHCE	0.289081233971597
SLC6A2	0.289081233971597
KLKB1	0.261148110968209
EDNRB	0.255933237878049
GUCY1A1	0.255933237878049
GUCY1B1	0.255933237878049
EGLN2	0.252724125149282
PELI1	0.236779718049195
MC1R	0.208045979665235
CHRM1	0.193298457628888
CHRM2	0.193298457628888
CHRM4	0.193298457628888
FGA	0.193298457628888
FGB	0.193298457628888
GABRA1	0.193298457628888
MC2R	0.193298457628888
OPRD1	0.193298457628888
SRD5A2	0.193298457628888
TRHR	0.193298457628888
XPO1	0.193298457628888
GRIN1	0.142668832467058
