name	log2FC	p.value	neg.log10P	x	y
CCL22	0.739152347	2.69e-15	14.57	0.223636699650029	0.55258437833947
CCN2	0.947725915	2.68e-06	5.571	0.550678705369263	0.878653679280187
CXCL8	3.380637626	7.64e-35	34.117	0.207938061143888	0.676075240684472
FGR	1.093084949	1.75e-28	27.758	0.792061938856112	0.08
ICAM1	1.327269787	0.000202691	3.693	0.32134657709657	0.469781246943829
IFNG	1.589379876	4.08e-07	6.39	0.666191064162433	0.479072709771048
IL1B	2.455672387	4.47e-08	7.35	0.677645051158953	0.680081937396306
IL33	1.718888278	1.29e-21	20.889	0.650906960211992	0.805479112930941
IL6	1.412118159	3.02e-09	8.52	0.578310943061876	0.440904810230997
PTGS2	2.437241449	5.6e-06	5.251	0.229591659698727	0.801731480618354
SOCS3	1.28034007	0.013029021	1.885	0.341566298372967	0.84083780198594
SPHK1	NA	NA	NA	0.450571356968111	0.657076228978227
SPHK2	NA	NA	NA	0.6756750452277	0.276422802363985
TNF	0.650161648	4.24e-14	13.373	0.502608825371961	0.382289079295627
TNFSF13B	1.020164678	4.29e-13	12.367	0.430562866010106	0.92
