name	log2FC	p.value	neg.log10P	x	y
CXCL8	2.914857901	2.45e-16	15.6	0.746112602222002	0.642919194554575
FGR	0.83779954	2.3e-07	6.64	0.278429151735941	0.129156544539721
ICAM1	1.378238372	1.56e-10	9.81	0.775018668073467	0.770140554299434
IFNG	0.99374297	2.18e-12	11.66	0.452290799742777	0.506194451999797
IL1B	1.522733228	1.54e-09	8.81	0.410761744827079	0.774259316437395
IL33	0.959843417	0.001001182	3	0.70819886171562	0.874180813408029
IL6	1.93121917	5.32e-11	10.27	0.533321913523838	0.474397884011034
LYN	0.9024575	4.08e-18	17.39	0.404764420282516	0.08
PTGS2	2.088833755	4.2e-11	10.4	0.595659097752879	0.92
SPHK1	NA	NA	NA	0.582311111481712	0.718633041892223
SPHK2	NA	NA	NA	0.408406912775013	0.274779138501574
SPIB	-0.7595828	3.68e-09	8.43	0.53175213542295	0.138238928359604
TCF4	0.757043	1.07e-07	6.97	0.224981331926533	0.258431119784817
TNFSF13B	0.89596675	3.61e-07	6.44	0.476010574618747	0.887112715645984
